EXTRACTING DATABASE FROM BACKUP
EXTRACTED DATABASE FROM BACKUP IN 1.47S
COUNTED 558589 OBJECTS IN 5.97S
HEADER-DHCPOPTION,STATUS,OBJECTTYPE,OBJECT,OPTIONSPACE,OPTIONCODE,OPTIONVALUE
HEADER-DHCPNETWORK,STATUS,OBJECT,OBJECTLINE
HEADER-LEASECOUNT,MEMBER,ACTIVELEASES
DHCPNETWORK,INCOMPATIBLE,ed:fee::/32,223569
DHCPNETWORK,INCOMPATIBLE,10.0.19.0/32,224915
DHCPNETWORK,INCOMPATIBLE,1.2.33.0/32,225013
DHCPNETWORK,INCOMPATIBLE,10.2.10.16/32,225389
DHCPNETWORK,INCOMPATIBLE,/32,226162
DHCPNETWORK,INCOMPATIBLE,/32,227744
DHCPNETWORK,INCOMPATIBLE,194.0.0.1/32,227745
DHCPNETWORK,INCOMPATIBLE,194.0.0.2/32,227746
DHCPNETWORK,INCOMPATIBLE,194.0.0.3/32,227747
DHCPNETWORK,INCOMPATIBLE,194.0.0.4/32,227748
DHCPNETWORK,INCOMPATIBLE,194.0.0.5/32,227749
DHCPNETWORK,INCOMPATIBLE,194.0.0.6/32,227750
DHCPNETWORK,INCOMPATIBLE,194.0.0.7/32,227751
DHCPNETWORK,INCOMPATIBLE,194.0.0.8/32,227752
DHCPNETWORK,INCOMPATIBLE,194.0.0.9/32,227753
DHCPNETWORK,INCOMPATIBLE,192.168.3.4/32,228249
DHCPNETWORK,INCOMPATIBLE,192.168.3.5/32,228250
DHCPNETWORK,INCOMPATIBLE,192.168.103.5/32,228513
DHCPNETWORK,INCOMPATIBLE,3.0.80.0/32,228771
DHCPNETWORK,INCOMPATIBLE,3.0.80.1/32,228772
DHCPNETWORK,INCOMPATIBLE,3.0.80.2/32,228773
DHCPNETWORK,INCOMPATIBLE,3.0.80.3/32,228774
DHCPNETWORK,INCOMPATIBLE,3.0.80.4/32,228775
DHCPNETWORK,INCOMPATIBLE,3.0.80.5/32,228776
DHCPNETWORK,INCOMPATIBLE,3.0.80.6/32,228777
DHCPNETWORK,INCOMPATIBLE,3.0.80.7/32,228778
DHCPNETWORK,INCOMPATIBLE,3.0.80.8/32,228779
DHCPNETWORK,INCOMPATIBLE,3.0.80.9/32,228780
DHCPNETWORK,INCOMPATIBLE,3.0.80.10/32,228781
DHCPNETWORK,INCOMPATIBLE,3.0.80.11/32,228782
DHCPNETWORK,INCOMPATIBLE,3.0.80.12/32,228783
DHCPNETWORK,INCOMPATIBLE,/32,228784
DHCPNETWORK,INCOMPATIBLE,3.0.80.14/32,228785
DHCPNETWORK,INCOMPATIBLE,3.0.80.15/32,228786
DHCPNETWORK,INCOMPATIBLE,3.0.80.16/32,228787
DHCPNETWORK,INCOMPATIBLE,3.0.80.17/32,228788
DHCPNETWORK,INCOMPATIBLE,3.0.80.18/32,228789
DHCPNETWORK,INCOMPATIBLE,3.0.80.19/32,228790
mapping values are not allowed here
  in "report_config.yaml", line 7, column 16
