HEADER-DHCPOPTION,STATUS,OBJECTTYPE,OBJECT,OPTIONSPACE,OPTIONCODE,OPTIONVALUE
HEADER-DHCPNetreeWORK,STATUS,OBJECT
DHCPNetreeWORK,INCOMPATIBLE,10.16.46.20/32
DHCPNetreeWORK,INCOMPATIBLE,/32
DHCPNetreeWORK,INCOMPATIBLE,10.200.34.3/32
DHCPNetreeWORK,INCOMPATIBLE,172.16.1.150/32
DHCPNetreeWORK,INCOMPATIBLE,172.16.33.54/32
DHCPNetreeWORK,INCOMPATIBLE,192.16.144.226/32
DHCPNetreeWORK,INCOMPATIBLE,192.168.103.5/32
DHCPNetreeWORK,INCOMPATIBLE,192.168.103.198/32
DHCPNetreeWORK,INCOMPATIBLE,192.168.103.226/32
DHCPNetreeWORK,INCOMPATIBLE,10.250.1.1/32
DHCPOPTION,VALIDATION_NEEDED,NetreeWORK,10.11.108.0/22,DHCP,43,0f:41:61:73:74:72:61:20:49:50:2d:50:68:6f:6e:65:01:0c:31:30:2e:32:30:30:2e:32:32:34:2e:37:04:07:73:65:61:76:65:30:31:05:03:36:33:31
DHCPOPTION,VALIDATION_NEEDED,NetreeWORK,10.222.161.0/24,DHCP,43,0f:41:61:73:74:72:61:20:49:50:2d:50:68:6f:6e:65:01:0e:31:30:2e:32:32:32:2e:32:33:30:2e:32:30:32:04:05:61:6d:62:30:31:05:03:32:36:30
DHCPOPTION,VALIDATION_NEEDED,NetreeWORK,10.222.162.0/24,DHCP,43,0f:41:61:73:74:72:61:20:49:50:2d:50:68:6f:6e:65:01:0e:31:30:2e:32:32:32:2e:32:33:30:2e:32:30:32:04:05:61:6d:62:30:31:05:03:32:36:30
DHCPOPTION,VALIDATION_NEEDED,NetreeWORK,10.222.163.0/24,DHCP,43,0f:41:61:73:74:72:61:20:49:50:2d:50:68:6f:6e:65:01:0e:31:30:2e:32:32:32:2e:32:33:30:2e:32:30:32:04:05:61:6d:62:30:31:05:03:32:36:30
DHCPOPTION,VALIDATION_NEEDED,NetreeWORK,10.222.164.0/24,DHCP,43,0f:41:61:73:74:72:61:20:49:50:2d:50:68:6f:6e:65:01:0e:31:30:2e:32:32:32:2e:32:33:30:2e:32:30:32:04:05:61:6d:62:30:31:05:03:32:36:30
DHCPOPTION,VALIDATION_NEEDED,NetreeWORK,10.222.221.0/24,DHCP,43,0f:41:61:73:74:72:61:20:49:50:2d:50:68:6f:6e:65:01:0e:31:30:2e:32:32:32:2e:32:33:30:2e:32:30:32:04:05:61:6d:62:30:31:05:03:32:36:30
DHCPOPTION,VALIDATION_NEEDED,NetreeWORK,10.222.160.0/24,DHCP,43,0f:41:61:73:74:72:61:20:49:50:2d:50:68:6f:6e:65:01:0e:31:30:2e:32:32:32:2e:32:33:30:2e:32:30:32:04:05:61:6d:62:30:31:05:03:32:36:30
